분류,메뉴코드,바코드번호,관리메뉴명(한국어),메뉴명(한국어),기존가, 인상후 ,인상가격
상품,B0000324,8801019514425 ,혼자먹는 쌍쌍바,혼자먹는 쌍쌍바,400,500,100
상품,B0000325,8801206730294 ,메론바,메론바,400,500,100
상품,B0000326,8801206000274 ,아이스캔디초코,아이스캔디초코,400,500,100
상품,B0000332,8801019514173 ,라이스크림,라이스크림,400,500,100
상품,B0000340,8801019514487 ,부라보바 피스타치오,부라보바 피스타치오,400,500,100
상품,B0000352,8801206001516 ,민트리치바,민트리치바,400,500,100
상품,B0000368,8801118255229 ,별난바,별난바,400,500,100
상품,B0000369,8801019514678 ,연양갱바,연양갱바,400,500,100
상품,B0000370,8801019514746 ,누가바 쇼콜라,누가바 쇼콜라,400,500,100
상품,B0000371,8801019514685 ,아이스쿨자두,아이스쿨자두,400,500,100
상품,B0000373,8801206001660 ,젤리쏙쏙바,젤리쏙쏙바,400,500,100
상품,B0000380,8801118255632 ,자바초코칩,자바초코칩,400,500,100
상품,B0000381,8801118255663 ,델몬트복숭아,델몬트복숭아,400,500,100
상품,B0000382,8801062894741 ,찰옥수수바,찰옥수수바,400,500,100
상품,B0000390,8801019514777 ,쌍쌍바피치베리,쌍쌍바피치베리,400,500,100
상품,B0000391,8801019514388 ,아이스쿨청포도,아이스쿨청포도,400,500,100
상품,B0000392,8801104304771 ,생큘탱귤자몽,생큘탱귤자몽,400,500,100
상품,B0000393,8801019513688 ,토마토바,토마토바,400,500,100
상품,B0000397,8801104664202 ,키위아작,키위아작,400,500,100
상품,B0000407,8801118255717 ,빠삐코바,빠삐코바,400,500,100
상품,B0000411,8801104664189 ,빙그레 붕바스틱,빙그레 붕바스틱,400,500,100
상품,B0000420,8801118255816 ,블루소다,블루소다,400,500,100
상품,B0000435,8801206001523 ,솔티드 카라멜바,솔티드 카라멜바,400,500,100
상품,B0000443,8801019514418 ,누드누가바,누드누가바,400,500,100
상품,B0000445,8805584111416 ,옥수수익어가는,옥수수익어가는,400,500,100
상품,B0000452,8801019509650 ,인절미통통,인절미통통,400,500,100
상품,B0000456,8801019513381 ,아이스쿨 트로피칼,아이스쿨 트로피칼,400,500,100
상품,B0000457,8801019514975 ,바밤바 흑당버블티바,바밤바 흑당버블티바,400,500,100
상품,B0000458,8801206001769 ,참외롭다 참외바,참외롭다 참외바,400,500,100
상품,B0000463,8801206002032 ,초코쿠키바,초코쿠키바,400,500,100
상품,B0000464,8801104664554 ,메로나코코넛,메로나코코넛,400,500,100
상품,B0000465,8801206001714 ,홍차타임,홍차타임,400,500,100
상품,B0000466,8801206002018 ,군고구마바,군고구마바,400,500,100
상품,B0000467,8801206001943 ,커피리치바,커피리치바,400,500,100
상품,B0000468,8801206001974 ,타로밀크티바,타로밀크티바,400,500,100
상품,B0000469,8801118256097 ,돼지바블랙,돼지바블랙,400,500,100
