메뉴별 매출현황,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
메뉴코드,바코드번호,메뉴명,분류명,거래건수,매출금액,할인금액,판매건수,실매출,부가세,순매출,객단가,판매수량,판매옵션수량,구성비(%)
B0000589,8809713220734 , 백도바,상품,79,43200,0,79,43200,3918,39282,400,108,0,0.12%
B0000793,4000512776635 ,트롤리 스파게티 딸기 100g,젤리,21,43200,0,21,43200,3934,39266,1800,24,0,0.12%
B0000839,8997004301429 ,오이시 스펀지 크런치,젤리,16,42500,0,16,42500,3859,38641,2500,17,0,0.12%
B0000014,8801118251573 ,와삭바,상품,54,42400,0,54,42400,3850,38550,400,106,0,0.12%
B0000673,5012035901738 ,하리보스타젤리,젤리,30,42300,0,30,42300,3846,38454,1244,34,0,0.12%
B0000788,8809263981154 ,미왕 쌀과자,젤리,12,42000,0,12,42000,3822,38178,3500,12,0,0.12%
B0000821,8803622001071 ,오징어 숏다리,젤리,18,42000,0,18,42000,3823,38177,2000,21,0,0.12%
B0000488,8801062885268 ,돌아온 엄마의실수,상품,44,41400,0,44,41400,3772,37628,600,69,0,0.12%
B0000715,8801062289936 ,치토스 스모키바베큐맛,롯데과자,26,40500,0,26,40500,3680,36820,1500,27,0,0.11%
B0000811,8801104666718 ,투게더 프럴린&아몬드,상품,9,40500,0,9,40500,3681,36819,4500,9,0,0.11%
B0000709,8801062521876 ,빠다코코낫,롯데과자,24,39000,0,24,39000,3541,35459,1500,26,0,0.11%
B0000755,4003840008591 ,히츨러 우주캔디,젤리,14,39000,0,14,39000,3543,35457,2600,15,0,0.11%
B0000895,8801062876051 ,찰떡아이스 치즈떡볶이,상품,34,39000,0,34,39000,3548,35452,1000,39,0,0.11%
B0000746,8994405103041 ,차카니 36g,젤리,77,38500,0,77,38500,3487,35013,433,89,0,0.11%
B0000429,8801062890958 ,모구모구 피치아이스,상품,30,38400,0,30,38400,3497,34903,600,64,0,0.11%
B0000558,8809713220321 ,폭신폭신솜사탕바083074,상품,76,38000,0,76,38000,3450,34550,400,95,0,0.11%
B0000776,8802896000650 ,월드컵 어포,젤리,30,38000,0,30,38000,3459,34541,1000,38,0,0.11%
B0000842,5000159020312 ,몰티져스 37g,젤리,19,37500,0,19,37500,3406,34094,1500,25,0,0.10%
B0000864,8801062381814 ,도리토스 나쵸치즈맛,롯데과자,25,37500,0,25,37500,3400,34100,1500,25,0,0.10%
B0000749,8801906167017 ,트위스트 55g,젤리,72,37200,0,72,37200,3371,33829,433,86,0,0.10%
B0000768,4807770190162 ,키드오 버터맛,젤리,24,37200,0,24,37200,3379,33821,1200,31,0,0.10%
B0000609,8809713220901 ,폴라포커피,상품,32,37000,0,32,37000,3362,33638,500,74,0,0.10%
B0000438,8801062890507 ,월드콘 아몬드브리톨,상품,32,36800,0,32,36800,3349,33451,800,46,0,0.10%
B0000092,8801118253850 ,빠삐코 밀크,상품,34,36500,0,34,36500,3314,33186,500,73,0,0.10%
B0000720,8801062012756 ,빼빼로 누드초코,롯데과자,22,36000,0,22,36000,3266,32734,1500,24,0,0.10%
B0000774,8801062883189 ,설레임 레모네이드,상품,31,36000,0,31,36000,3275,32725,800,45,0,0.10%
B0000852,4895138305105 ,스트라이킹 팝핑캔디 콜라맛,젤리,20,36000,0,20,36000,3269,32731,1500,24,0,0.10%
B0000834,8801206002285 ,임실치즈 케이크바,상품,51,35600,0,51,35600,3226,32374,400,89,0,0.10%
B0000772,8850157401050 ,벤토 스위트 앤 스파이시 12g,젤리,31,35400,0,31,35400,3223,32177,932,38,0,0.10%
B0000721,8801062518210 ,칸쵸,롯데과자,34,35000,0,34,35000,3187,31813,1000,35,0,0.10%
B0000573,8809713220581 ,1000 폴라포 스포츠084033,상품,42,34500,0,42,34500,3129,31371,500,69,0,0.10%
B0000800,8850813311044 ,킹아일랜드 코코넛칩,젤리,19,34500,0,19,34500,3135,31365,1500,23,0,0.10%
B0000552,8809713220161 ,800 바밤바 흑당버블티바083093,상품,68,34400,0,68,34400,3115,31285,400,86,0,0.10%
B0000526,8801062475803 ,슬로우멜츠 후레쉬딸기,상품,15,34000,0,15,34000,3091,30909,2000,17,0,0.10%
B0000320,8801104307789 ,뽕따 레드피치,상품,47,33500,0,47,33500,3035,30465,500,67,0,0.09%
B0000802,7502230948433 ,빅빅 초코바,젤리,29,33000,0,29,33000,3006,29994,1000,33,0,0.09%
B0000873,8801117694807 ,꼬북칩 초코츄러스맛 ,젤리,9,33000,0,9,33000,3000,30000,3000,11,0,0.09%
B0000912,8801062875207 ,조안나 쿠앤크깜뜨,상품,6,33000,0,6,33000,3000,30000,5500,6,0,0.09%
B0000939,8809713220390 ,탱크보이,상품,43,33000,0,43,33000,2991,30009,500,66,0,0.09%
B0000920,8801104670067 ,슈퍼콘 쿠앤크,상품,30,32800,0,30,32800,2983,29817,800,41,0,0.09%
