분류,메뉴코드,바코드번호,관리메뉴명,메뉴명_한국어,메뉴명_영어,메뉴명_일본어,메뉴명_중국어,메뉴설명_한국어,메뉴설명_영어,메뉴설명_일본어,메뉴설명_중국어,판매가격,포장가격,아이콘표시,판매시작시간,판매종료시간,판매갯수제한,판매여부,성인인증여부,과세여부,표시시작일자,표시종료일자,판매불가요일,연동코드,매입처,야간가격
상품,B0000045,8801062422531 ,와쿠와크,와쿠와크,,,,,,,,1000,,없음,0,0,0,Y,,,20190101,99991231,1111111,,,
상품,B0000046,8801104304399 ,요맘때 요거그린,요맘때 요거그린,,,,,,,,1000,,없음,0,0,0,Y,N,Y,20190101,99991231,1111111,,,
상품,B0000047,8801062422517 ,월드콘,월드콘,,,,,,,,1000,,없음,0,0,0,Y,N,Y,20190101,99991231,1111111,,,
상품,B0000048,8801019510243 ,부라보콘 초코청크,부라보콘 초코청크,,,,,,,,1000,,없음,0,0,0,Y,N,Y,20190101,99991231,1111111,,,
상품,B0000049,8801019509209 ,부라보 피스타치오,부라보 피스타치오,,,,,,,,1000,,없음,0,0,0,Y,N,Y,20190101,99991231,1111111,,,
상품,B0000050,8801104302593 ,요맘때 딸기콘,요맘때 딸기콘,,,,,,,,1000,,없음,0,0,0,Y,N,Y,20190101,99991231,1111111,,,
상품,B0000051,8801104301435 ,요맘때 플레인콘,요맘때 플레인콘,,,,,,,,1000,,없음,0,0,0,Y,N,Y,20190101,99991231,1111111,,,
상품,B0000052,8801118251221 ,구구콘,구구콘,,,,,,,,1000,,없음,0,0,0,Y,,,20190101,99991231,1111111,,,
상품,B0000053,8801118253751 ,구구콘 화이트,구구콘 화이트,,,,,,,,1000,,없음,0,0,0,Y,N,Y,20190101,99991231,1111111,,,
상품,B0000054,8801019509223 ,부라보콘 그레이프,부라보콘 그레이프,,,,,,,,1000,,없음,0,0,0,Y,N,Y,20190101,99991231,1111111,,,
상품,B0000055,8801019509193 ,부라보 바닐라,부라보 바닐라,,,,,,,,1000,,없음,0,0,0,Y,N,Y,20190101,99991231,1111111,,,
상품,B0000056,8801118251313 ,빵빠레초코,빵빠레초코,,,,,,,,1000,,없음,0,0,0,Y,,,20190101,99991231,1111111,,,
상품,B0000057,8801118251306 ,빵빠레 바닐라,빵빠레 바닐라,,,,,,,,1000,,없음,0,0,0,Y,,,20190101,99991231,1111111,,,
상품,B0000058,8801019512377 ,폴라포 피치,폴라포 피치,,,,,,,,600,,없음,0,0,0,Y,N,Y,20190101,99991231,1111111,,,
상품,B0000059,8801118251351 ,쿨샷,쿨샷,,,,,,,,1500,,없음,0,0,0,Y,,,20190101,99991231,1111111,,,
상품,B0000060,8801062002368 ,고드름레몬아이스,고드름레몬아이스,,,,,,,,800,,없음,0,0,0,Y,,,20190101,99991231,1111111,,,
상품,B0000061,8801104152112 ,삼색파르페,삼색파르페,,,,,,,,1000,,없음,0,0,0,Y,,,20190101,99991231,1111111,,,
상품,B0000062,8801062002504 ,롯데일품팥빙수,롯데일품팥빙수,,,,,,,,2000,,없음,0,0,0,Y,,,20190101,99991231,1111111,,,
상품,B0000063,8801118251276 ,팥빙수파티,팥빙수파티,,,,,,,,2000,,없음,0,0,0,Y,,,20190101,99991231,1111111,,,
상품,B0000064,8801104304979 ,꽃보다 빙수 딸기,꽃보다 빙수 딸기,,,,,,,,1500,,없음,0,0,0,Y,,,20190101,99991231,1111111,,,
상품,B0000065,8801104302265 ,꽃보다 빙수 망고,꽃보다 빙수 망고,,,,,,,,1500,,없음,0,0,0,Y,,,20190101,99991231,1111111,,,
상품,B0000066,8801206000540 ,서주 메론 빙수,서주 메론 빙수,,,,,,,,1500,,없음,0,0,0,Y,,,20190101,99991231,1111111,,,
상품,B0000067,8801118253669 ,구구크러스트컵,구구크러스트컵,,,,,,,,1500,,없음,0,0,0,Y,,,20190101,99991231,1111111,,,
상품,B0000068,8802186135567 ,블루레몬,블루레몬,,,,,,,,500,,없음,0,0,0,Y,N,Y,20190101,99991231,1111111,,,
상품,B0000069,8801206000113 ,깐도리,깐도리,,,,,,,,500,,없음,0,0,0,Y,N,Y,20190101,99991231,1111111,,,
상품,B0000070,8801206730201 ,서주아이스주,서주아이스주,,,,,,,,500,,없음,0,0,0,Y,N,Y,20190101,99991231,1111111,,,
상품,B0000071,8801206730195 ,찰옥수수바,찰옥수수바,,,,,,,,500,,없음,0,0,0,Y,N,Y,20190101,99991231,1111111,,,
상품,B0000072,8801206000267 ,아이스캔디바닐라,아이스캔디바닐라,,,,,,,,500,,없음,0,0,0,Y,N,Y,20190101,99991231,1111111,,,
상품,B0000073,8801206000410 ,요쿠르트아이스바,요쿠르트아이스바,,,,,,,,500,,없음,0,0,0,Y,N,Y,20190101,99991231,1111111,,,
상품,B0000074,8801206740439 ,서주마카롱바,서주마카롱바,,,,,,,,500,,없음,0,0,0,Y,N,Y,20190101,99991231,1111111,,,
상품,B0000075,8801206680100 ,서주왕포도알,서주왕포도알,,,,,,,,600,,없음,0,0,0,Y,N,Y,20190101,99991231,1111111,,,
상품,B0000076,8801206000465 ,서주요쿠르트아이스,서주요쿠르트아이스,,,,,,,,600,,없음,0,0,0,Y,N,Y,20190101,99991231,1111111,,,
상품,B0000077,8801206670354 ,서주 왕포도알,서주 왕포도알,,,,,,,,600,,없음,0,0,0,Y,N,Y,20190101,99991231,1111111,,,
상품,B0000078,8801206000168 ,서주빠빠오,서주빠빠오,,,,,,,,600,,없음,0,0,0,Y,N,Y,20190101,99991231,1111111,,,
상품,B0000079,8809089691350 ,서주더블플러스,서주더블플러스,,,,,,,,600,,없음,0,0,0,Y,N,Y,20190101,99991231,1111111,,,
상품,B0000080,8801206000458 ,서주요쿠르트 쭈쭈바,서주요쿠르트 쭈쭈바,,,,,,,,600,,없음,0,0,0,Y,N,Y,20190101,99991231,1111111,,,
상품,B0000081,8801019510076 ,호두마루홈,호두마루홈,,,,,,,,5000,,없음,0,0,0,Y,N,Y,20190101,99991231,1111111,,,
상품,B0000082,8801019510083 ,체리마루홈,체리마루홈,,,,,,,,5000,,없음,0,0,0,Y,N,Y,20190101,99991231,1111111,,,
상품,B0000083,8801062453337 ,위즐 커피&초코퍼지,위즐 커피&초코퍼지,,,,,,,,4500,,없음,0,0,0,Y,N,Y,20190101,99991231,1111111,,,
상품,B0000084,8801062453313 ,위즐바닐라,위즐바닐라,,,,,,,,4500,,없음,0,0,0,Y,N,Y,20190101,99991231,1111111,,,
상품,B0000085,8801104302036 ,쿠앤크홈,쿠앤크홈,,,,,,,,5000,,없음,0,0,0,Y,N,Y,20190101,99991231,1111111,,,
상품,B0000086,8801062453634 ,조안나,조안나,,,,,,,,5500,,없음,0,0,0,Y,N,Y,20190101,99991231,1111111,,,
상품,B0000087,8801118250248 ,구구쿠러스터,구구쿠러스터,,,,,,,,5000,,없음,0,0,0,Y,N,Y,20190101,99991231,1111111,,,
상품,B0000088,8801062417254 ,셀렉션,셀렉션,,,,,,,,5000,,없음,0,0,0,Y,N,Y,20190101,99991231,1111111,,,
상품,B0000089,8801118251344 ,구구아몬드,구구아몬드,,,,,,,,5000,,없음,0,0,0,Y,N,Y,20190101,99991231,1111111,,,
상품,B0000090,8801104111553 ,더위사냥,더위사냥,,,,,,,,600,,없음,0,0,0,Y,N,Y,20190101,99991231,1111111,,,
상품,B0000091,8801118250590 ,거북알,거북알,,,,,,,,600,,없음,0,0,0,Y,,,20190101,99991231,1111111,,,
상품,B0000092,8801118253850 ,빠삐코 밀크,빠삐코 밀크,,,,,,,,600,,없음,0,0,0,Y,N,Y,20190101,99991231,1111111,,,
상품,B0000093,8801118250996 ,빠삐코 초코,빠삐코 초코,,,,,,,,600,,없음,0,0,0,Y,N,Y,20190101,99991231,1111111,,,
상품,B0000094,8801104111355 ,뽕따소다,뽕따소다,,,,,,,,600,,없음,0,0,0,Y,N,Y,20190101,99991231,1111111,,,
상품,B0000095,8801019508769 ,젤루조아 감귤,젤루조아 감귤,,,,,,,,600,,없음,0,0,0,Y,N,Y,20190101,99991231,1111111,,,
상품,B0000096,8801019508721 ,탱크보이,탱크보이,,,,,,,,600,,없음,0,0,0,Y,N,Y,20190101,99991231,1111111,,,
상품,B0000097,8801062443499 ,심쿵 청포도,심쿵 청포도,,,,,,,,600,,없음,0,0,0,Y,N,Y,20190101,99991231,1111111,,,
상품,B0000098,8801019508745 ,폴라포스포츠,폴라포스포츠,,,,,,,,600,,없음,0,0,0,Y,N,Y,20190101,99991231,1111111,,,
상품,B0000099,8801019508738 ,폴라포포도,폴라포포도,,,,,,,,600,,없음,0,0,0,Y,N,Y,20190101,99991231,1111111,,,
상품,B0000100,8801104111348 ,파워캡레드,파워캡레드,,,,,,,,600,,없음,0,0,0,Y,N,Y,20190101,99991231,1111111,,,
상품,B0000101,8801118253881 ,칼라만시쮸쮸바,칼라만시쮸쮸바,,,,,,,,600,,없음,0,0,0,Y,N,Y,20190101,99991231,1111111,,,
상품,B0000102,8801118251153 ,망고쮸쮸바,망고쮸쮸바,,,,,,,,600,,없음,0,0,0,Y,N,Y,20190101,99991231,1111111,,,
상품,B0000103,8801062442553 ,주물러 콜라,주물러 콜라,,,,,,,,600,,없음,0,0,0,Y,N,Y,20190101,99991231,1111111,,,
상품,B0000104,8801118253874 ,딸기 쮸쮸바,딸기 쮸쮸바,,,,,,,,600,,없음,0,0,0,Y,N,Y,20190101,99991231,1111111,,,
상품,B0000105,8801104302364 ,투게더 미니컵,투게더 미니컵,,,,,,,,2500,,없음,0,0,0,Y,N,Y,20190101,99991231,1111111,,,
상품,B0000106,8801104302531 ,엑설런트 미니컵,엑설런트 미니컵,,,,,,,,2000,,없음,0,0,0,Y,N,Y,20190101,99991231,1111111,,,
상품,B0000107,8801062623662 ,허쉬 크런치 아몬드 콘,허쉬 크런치 아몬드 콘,,,,,,,,2000,,없음,0,0,0,Y,,,20190101,99991231,1111111,,,
상품,B0000108,8801104301671 ,끌레도르 초코브라우니 콘,끌레도르 초코브라우니 콘,,,,,,,,2500,,없음,0,0,0,Y,,,20190101,99991231,1111111,,,
상품,B0000109,8801104172134 ,끌레도르바 쿠키앤크림,끌레도르바 쿠키앤크림,,,,,,,,2000,,없음,0,0,0,Y,,,20190101,99991231,1111111,,,
상품,B0000110,8801104172059 ,끌레도르바 베리믹스,끌레도르바 베리믹스,,,,,,,,2000,,없음,0,0,0,Y,,,20190101,99991231,1111111,,,
상품,B0000111,8801062436439 ,미니멜츠 빅 포도소다,미니멜츠 빅 포도소다,,,,,,,,2000,,없음,0,0,0,Y,,,20190101,99991231,1111111,,,
상품,B0000112,8801062436453 ,미니멜츠 빅 초코볼,미니멜츠 빅 초코볼,,,,,,,,2000,,없음,0,0,0,Y,,,20190101,99991231,1111111,,,
상품,B0000113,8801062475780 ,미니멜츠 구슬 초코바닐라,미니멜츠 구슬 초코바닐라,,,,,,,,2000,,없음,0,0,0,Y,,,20190101,99991231,1111111,,,
상품,B0000114,8801062435951 ,와,와,,,,,,,,1000,,없음,0,0,0,Y,,,20190101,99991231,1111111,,,
상품,B0000115,8801062013197 ,색고드름,색고드름,,,,,,,,1300,,없음,0,0,0,Y,,,20190101,99991231,1111111,,,
상품,B0000116,8801104305099 ,더위사냥 구슬아이스,더위사냥 구슬아이스,,,,,,,,800,,없음,0,0,0,Y,,,20190101,99991231,1111111,,,
상품,B0000117,8801104301602 ,빵또아 블루베리,빵또아 블루베리,,,,,,,,1000,,없음,0,0,0,Y,,,20190101,99991231,1111111,,,
상품,B0000118,8801104305037 ,빵또아 레드벨벳,빵또아 레드벨벳,,,,,,,,1000,,없음,0,0,0,Y,,,20190101,99991231,1111111,,,
상품,B0000119,8801104131100 ,슈팅스타,슈팅스타,,,,,,,,1000,,없음,0,0,0,Y,N,Y,20190101,99991231,1111111,,,
상품,B0000120,8801062002429 ,심쿵 복숭아,심쿵 복숭아,,,,,,,,500,,없음,0,0,0,Y,N,Y,20190101,99991231,1111111,,,
상품,B0000121,8801104305112 ,더위사냥 구슬아이스 레인보우,더위사냥 구슬아이스 레인보우,,,,,,,,800,,없음,0,0,0,Y,,,20190101,99991231,1111111,,,
상품,B0000122,8801062453672 ,티코,티코,,,,,,,,5000,,없음,0,0,0,Y,N,Y,20190101,99991231,1111111,,,
상품,B0000123,8401062411155 ,누크바,누크바,,,,,,,,500,,없음,0,0,0,Y,N,Y,20190101,99991231,1111111,,,
상품,B0000124,8801104302999 ,투게더 시그니처,투게더 시그니처,,,,,,,,1500,,없음,0,0,0,Y,,,20190101,99991231,1111111,,,
상품,B0000125,8801062623556 ,말랑카우,말랑카우,,,,,,,,500,,없음,0,0,0,Y,N,Y,20190101,99991231,1111111,,,
상품,B0000126,8801104123839 ,요맘때 플레인바,요맘때 플레인바,,,,,,,,500,,없음,0,0,0,Y,N,Y,20190101,99991231,1111111,,,
상품,B0000127,8801062475797 ,미니멜츠 캔디,미니멜츠 캔디,,,,,,,,2000,,없음,0,0,0,Y,,,20190101,99991231,1111111,,,
상품,B0000128,8801062475810 ,미니멜츠 레인보우,미니멜츠 레인보우,,,,,,,,2000,,없음,0,0,0,Y,,,20190101,99991231,1111111,,,
상품,B0000129,8801118358029 ,라베스트 체리콘,라베스트 체리콘,,,,,,,,2000,,없음,0,0,0,Y,,,20190101,99991231,1111111,,,
상품,B0000130,8801118358012 ,라베스트 치즈케이크콘,라베스트 치즈케이크콘,,,,,,,,2000,,없음,0,0,0,Y,,,20190101,99991231,1111111,,,
상품,B0000131,8801118252396 ,라베스트 크림치즈바,라베스트 크림치즈바,,,,,,,,2000,,없음,0,0,0,Y,,,20190101,99991231,1111111,,,
상품,B0000132,8801062417117 ,수박바,수박바,,,,,,,,500,,없음,0,0,0,Y,N,Y,20190101,99991231,1111111,,,
상품,B0000133,8801104123365 ,쿠앤크 쿠키앤초코,쿠앤크 쿠키앤초코,,,,,,,,500,,없음,0,0,0,Y,N,Y,20190101,99991231,1111111,,,
상품,B0000134,8801062000036 ,옥동자 카라멜,옥동자 카라멜,,,,,,,,500,,없음,0,0,0,Y,N,Y,20190101,99991231,1111111,,,
상품,B0000135,8801062013951 ,본젤라또 녹차초코,본젤라또 녹차초코,,,,,,,,600,,없음,0,0,0,Y,,,20190101,99991231,1111111,,,
상품,B0000136,8801019513572 ,하이카카오,하이카카오,,,,,,,,600,,없음,0,0,0,Y,,,20190101,99991231,1111111,,,
상품,B0000137,8801062412020 ,옥동자딸기,옥동자딸기,,,,,,,,500,,없음,0,0,0,Y,N,Y,20190101,99991231,1111111,,,
상품,B0000138,8801104111560 ,클랙식요맘때 플레인,클랙식요맘때 플레인,,,,,,,,1000,,없음,0,0,0,Y,N,Y,20190101,99991231,1111111,,,
상품,B0000139,8801019507427 ,크런치킹 샌드,크런치킹 샌드,,,,,,,,1000,,없음,0,0,0,Y,N,Y,20190101,99991231,1111111,,,
상품,B0000140,8801104300667 ,투게더 밀크초코,투게더 밀크초코,,,,,,,,5000,,없음,0,0,0,Y,N,Y,20190101,99991231,1111111,,,
상품,B0000141,8801019513190 ,녹차마루,녹차마루,,,,,,,,5000,,없음,0,0,0,Y,N,Y,20190101,99991231,1111111,,,
상품,B0000142,8801104163057 ,엑셀런트,엑셀런트,,,,,,,,6500,,없음,0,0,0,Y,N,Y,20190101,99991231,1111111,,,
상품,B0000143,8801019512124 ,파르페 쿠키앤크림,파르페 쿠키앤크림,,,,,,,,1000,,없음,0,0,0,Y,,,20190101,99991231,1111111,,,
상품,B0000144,8801062004133 ,설레임 애플 키위,설레임 애플 키위,,,,,,,,1000,,없음,0,0,0,Y,N,Y,20190101,99991231,1111111,,,
상품,B0000145,8801062004010 ,죠스아이스,죠스아이스,,,,,,,,800,,없음,0,0,0,Y,,,20190101,99991231,1111111,,,
상품,B0000146,8809089690797 ,깐도리,깐도리,,,,,,,,500,,없음,0,0,0,Y,N,Y,20190101,99991231,1111111,,,
상품,B0000147,8801019508790 ,체리마루,체리마루,,,,,,,,500,,없음,0,0,0,Y,N,Y,20190101,99991231,1111111,,,
상품,B0000148,8809089691398 ,포도알,포도알,,,,,,,,500,,없음,0,0,0,Y,N,Y,20190101,99991231,1111111,,,
상품,B0000149,8801118252839 ,거북이,거북이,,,,,,,,600,,없음,0,0,0,Y,,,20190101,99991231,1111111,,,
상품,B0000150,8801019508776 ,젤루조아 청포도,젤루조아 청포도,,,,,,,,600,,없음,0,0,0,Y,N,Y,20190101,99991231,1111111,,,
상품,B0000151,8801019512933 ,탱크보이 애플젤리,탱크보이 애플젤리,,,,,,,,600,,없음,0,0,0,Y,N,Y,20190101,99991231,1111111,,,
상품,B0000152,8801118253867 ,빠삐코 딸기,빠삐코 딸기,,,,,,,,600,,없음,0,0,0,Y,N,Y,20190101,99991231,1111111,,,
